# kind	name	production	scope	purpose
# production is one of: on, off, auto, transient. This is the authoritative inventory.
env	MACWS_AMFI_IMMOVABLE_TASK_PORT_COMPAT	on	VS Code,Chrome,Steam	Narrow Chromium task-policy compatibility; covers newer __mac_syscall and CEF 126 __sandbox_ms entry points.
env	MACWS_CRASHPAD_IMMOVABLE_TASK_PORT_COMPAT	on	Steam	Returns the kernel-equivalent MACH_SEND_INVALID_RIGHT for Crashpad's exact nonfatal CPsx task-port telemetry request before iPadOS raises fatal EXC_GUARD; real exceptions are unchanged.
env	MACWS_APP_DISPLAY_SETTLE_MS	on	Terminal=750	Bounded Terminal redraw settlement; not enabled for benchmarks.
env	MACWS_AUDIO_RENDER_BRIDGE	on	VS Code audio service	Wraps the real DefaultOutput AudioUnit callback and publishes its final 48-kHz stereo PCM render into the shared bridge ring; disabled in every unrelated process.
env	MACWS_BLUR_TRACE	off	diagnostic	Blur pipeline trace.
env	MACWS_BLUR_XPC	off	diagnostic experiment	Blur texture XPC experiment.
env	MACWS_CHROMIUM_COMPOSITE_OVERLAYS	on	Verified Chromium GPU process	Defaults on with exact binary UUID, GPU-process identity and field-layout checks; marks the real video_capture_enabled field so Chromium composes video into captured scanout. Explicit zero is a diagnostic opt-out.
env	MACWS_COMMAND_ERROR_DIAGNOSTICS	off	diagnostic	Installs command-buffer completion/error observers for bounded Metal failure correlation; production leaves it unset.
env	MACWS_BUFFER_SUBALLOC_DIAG	off	IOGPU buffer diagnostic	Installs the exact IOGPUMetalBuffer primary-buffer initializer observer and records real suballocation metadata without changing the returned buffer.
env	MACWS_CHROOT_HOST_ROOT	auto	launchdchrootexec descendants	Canonical host path captured before chroot and used to translate kernel file-ID paths into the process-visible root namespace.
env	MACWS_COEXIST_PACE_US	off	diagnostic pacing override	Overrides the built-in 100000-us idle completion interval for a bounded experiment; production does not set it.
env	MACWS_DESKTOPSERVICES_DIAG	off	diagnostic	Exact-UUID Finder volume-map lookup and SamePhysicalDevice boundary recorder; observation only.
env	MACWS_DISPLAY_DIAGNOSTICS	off	macwsdisplayd diagnostic	Enables per-frame throughput and final-composite receive logging; production keeps it unset to avoid synchronous stderr overhead.
env	MACWS_FINAL_COMPOSITE_DIRECT	off	final-composite A/B rollback	Bypasses the production four-slot same-queue snapshot ring and republishes WindowServer's mutable display target directly; diagnostic only because producer and Host can race on the same IOSurface.
env	MACWS_DIAG_SKIP_BIND_UPDATE	off	diagnostic	Reproduces historical texture bind failure.
env	MACWS_DISABLE_ANE_PROTOCOL_COMPAT	off	AppleNeuralEngine A/B control	Disables the Ventura-to-iOS ANE XPC interface and model-wire adapters so the stock failure can be compared.
env	MACWS_DISABLE_METALFX_ANE_BUFFER_COMPAT	off	MetalFX ANE A/B control	Disables only the MetalFX MPSGraph IOSurface-backed tensor-buffer translation and preserves the original initializer.
env	MACWS_DISP_COPY	off	diagnostic experiment	Legacy display CPU-copy bridge.
env	MACWS_DISP_FILL_LOOP	off	diagnostic experiment	Legacy continuous gray-fill probe.
env	MACWS_DUMP_BACKING	off	diagnostic	Texture backing dump.
env	MACWS_FILE_PANEL_DIAG	off	file-panel diagnostic	Logs selection of Ventura AppKit's native in-process NSOpenPanel/NSSavePanel implementation.
env	MACWS_FILECACHE_DIAG	off	diagnostic	Exact-UUID CoreServicesInternal FileCache finalizer depth/object recorder; observation only.
env	MACWS_NATIVE_PANEL_DIRECTORY	off	standalone native-panel probe	Optional initial directory for misc/native_open_panel_probe.c.
env	MACWS_NATIVE_PANEL_HOLD	off	standalone native-panel probe	Stops the diagnostic process before panel construction for an explicit debugger attach.
env	MACWS_NATIVE_PANEL_INPROCESS	off	standalone native-panel probe	Sets NSUseRemoteSavePanel=NO and exercises the public NSOpenPanel factory.
env	MACWS_NATIVE_PANEL_INVENTORY	off	standalone native-panel probe	Prints the realized AppKit OpenPanel/SavePanel runtime classes and methods.
env	MACWS_NATIVE_PANEL_LOCAL	off	standalone native-panel probe	Diagnostic-only direct NSLocalOpenPanel construction for comparing the public factory path.
env	MACWS_NATIVE_IOCONNECT_DIAG	off	standalone MetalFX temporal probe	Dumps the unmodified native IOGPU queue-submit input entries at the exact IOConnect boundary.
env	MACWS_NATIVE_KCMD_DIAG	off	standalone MetalFX temporal probe	Observes the real native command-buffer commit selector and command bytes without changing submission.
env	MACWS_GLASS_BLUR_AB	off	diagnostic	GlassDemo blur A/B hook.
env	MACWS_GOT_RAW_AUTH	off	diagnostic	Raw authenticated GOT inspection.
env	MACWS_GOT_SKIP_AUTH	off	diagnostic	Skips authenticated GOT repair entries.
env	MACWS_HID_BYPASS	off	diagnostic/A-B	Broad HID compatibility hooks are not production-safe.
env	MACWS_IOMFB_SWAP_TRACE	off	diagnostic	Swap ABI trace.
env	MACWS_IOKIT_COMPAT_DIAGNOSTICS	off	diagnostic	Logs the exact IOMatchCategory IOAcceleratorES-to-IOAccelerator registry translation without changing its production behavior.
env	MACWS_IOSURF_TRACE	off	diagnostic	Per-IOSurface creation trace.
env	MACWS_JIT_MPROTECT_COMPAT	on	VS Code,Chrome,Steam	Chromium MAP_JIT/W^X compatibility without verbose trace.
env	MACWS_JIT_FAULT_WRITE_COMPAT	on	VS Code,Steam	Page-granular V8/CEF W^X adapter; only faulted 16-KiB writer pages become RW before RX restore.
env	MACWS_JIT_MPROTECT_TRACE	off	diagnostic	Per-mprotect JIT trace; pre-opens /tmp/macws_jit_forwarded.bin and records any SIGBUS that the W^X adapter cannot handle using one fixed-size async-signal-safe write.
env	MACWS_MONO_INTERPRETER	off	7DTD arm64 rehost diagnostic	Calls Unity 2022.3.62f2 Mono's public mono_jit_set_aot_mode with MONO_AOT_MODE_INTERP_ONLY (8) before runtime initialization and rebinds that exact UUID's late pthread_jit_write_protect_np import to the existing W^X adapter. This opt-in experiment currently reaches MonoManager ReloadAssembly but then faults in mono_gc_memmove_aligned reading an uncommitted reservation; it is not a production fix.
env	MACWS_MONO_JIT_COMPAT	auto	7DTD ARM game	Keeps Unity 2022.3.62f2 Mono in its normal JIT mode while rebinding only that exact UUID's late pthread_jit_write_protect_np import to the existing W^X adapter; injected only into the verified copied native-arm64 7 Days To Die runtime.
env	MACWS_MONO_CLONE_DIAGNOSTICS	off	7DTD arm64 rehost diagnostic	For the exact Unity 2022.3.62f2 Mono UUID, records a bounded object-handle/vtable/class witness at mono_gc_wbarrier_object_copy_handle without changing its arguments or result.
env	MACWS_LAUNCHPAD_TRACE	off	diagnostic	Dock-only Launchpad source validation/bring-up/rescan trace; never enable in production.
env	MACWS_LOCATIOND_MIG_TRACE	off	diagnostic	Bounded 256-record locationd dispatch-MIG receive/demux trace; production leaves the native callback unchanged.
env	MACWS_LSD_ROLE	auto	private LaunchServices daemons	Explicitly selects the system-store or session-catalog endpoint family; ordinary GUI clients leave it unset and use the session family.
env	MACWS_LSD_SESSION_USER_DIR	auto	private LaunchServices session daemon	Absolute isolated Darwin user directory used only by the MACWS_LSD_ROLE=session daemon so it cannot clean the system daemon's csstore.
env	MACWS_MPS_PROBE_COMPACT_COMPUTE	off	standalone MPS probe	Selects the compact compute fixture for an explicit protocol experiment; never read by production clients.
env	MACWS_MPS_PROBE_FRESH_DAG	off	standalone MPS probe	Selects a fresh DAG cache identity for a bounded compiler-cache comparison.
env	MACWS_MPS_PROBE_MATRIX	off	standalone MPS probe	Runs the probe's bounded MPS operation matrix instead of its single default workload.
env	MACWS_MPS_PROBE_METAL_RANGE	off	standalone MPS probe	Selects the explicit Metal feature-range value used by a bounded MPSGraph comparison.
env	MACWS_MPS_PROBE_TRACE_STITCH	off	standalone MPS probe	Logs bounded MPS graph stitching boundaries without changing results.
env	MACWS_MPS_PROBE_TRACE_SUBMIT	off	standalone MPS probe	Logs bounded command submission/completion witnesses without changing results.
env	MACWS_CATALYST_REGISTER_APPLICATION	on	Maps UIKit carrier child	Completes Maps' stock UIKitServices application-support handshake; UIKitSystem validates the real child audit token and complete exec generation before FrontBoard registration.
env	MACWS_CATALYST_REQUEST_INITIAL_SCENE	on	Maps UIKit carrier child	Requests Maps' initial UIKitMac scene after the validated UIKitServices registration; set only by MacWSCatalystLauncher, not globally.
env	MACWS_CATALYST_DIRECT_DRAWABLE	on	generic Catalyst carrier child	Publishes completed CAMetalLayer IOSurfaces through a typed Mach message when SkyLight exact-window capture omits the client area; Host imports and composites the same native AGX surface without RFB or CPU readback.
env	MACWS_CATALYST_TRACE	off	Catalyst diagnostic	Emits verbose UIKitMac/FuseBoard lifecycle inventories; never enable in production.
env	MACWS_DNS_DEBUG	off	DNS compatibility diagnostic	Logs local getaddrinfo failure and bounded hostd fallback results; production fallback remains active but quiet.
env	APPLICATION_SUPPORT_SERVICE_MACH_NAME	auto	Maps UIKit carrier child	Routes Maps' UIKitServices client to the private macOS-booter FrontBoard endpoint published by UIKitSystem; set only by MacWSCatalystLauncher.
env	MACWS_KEEP_ASSERT_BYPASS	off	safety invariant	Real assertions remain enabled.
env	MACWS_KEEP_FORCE_ACCEL	off	legacy simulator control	Simulator force-accelerator shim remains disabled.
env	MACWS_KEEP_RENDER_UPDATE_CBZ	off	A/B control	Restores historical SkyLight render-update branch.
env	MACWS_KEEP_VALIDATE_ALWAYS	off	diagnostic scaffold	Forces historical validate bypass behavior.
env	MACWS_FINAL_COMPOSITE	off	obsolete transport override	Ignored; authenticated completed final-composite publication is built into the production renderer.
env	MACWS_PROBE_ICON_RECORD	off	standalone ExtensionRecord probe	Exercises the icon-record query after the ordinary extension graph setup.
env	MACWS_PROBE_ICON_RECORD_EARLY	off	standalone ExtensionRecord probe	Exercises the icon-record query before the ordinary extension graph setup.
env	MACWS_PROBE_NO_APPKIT_APP	off	standalone ExtensionRecord probe	Skips NSApplication construction for a bounded AppKit dependency A/B.
env	MACWS_PROBE_NO_VARIANT_MATRIX	off	standalone ExtensionRecord probe	Skips the bounded symbol variant matrix used by the graphics probe.
env	MACWS_PROBE_STOP_BEFORE_GRAPHIC_RENDER	off	standalone ExtensionRecord probe	Stops before the diagnostic graphic-render operation for LLDB attachment.
env	MACWS_UTILITY_PROCESS	transient	postinst macOS utilities	Keeps signing/verification utilities outside GUI, input and Metal application hooks.
env	MACWS_DISABLE_STEAM_PROCESS_COMPAT	off	Steam A/B diagnostic	Disables the exact Valve child-process adapter for a bounded comparison only.
env	MACWS_STEAM_EXIT_DIAGNOSTICS	off	Steam diagnostic	Installs bounded top-level Helper exit backtraces; never enabled in production.
env	MACWS_STEAM_EXIT_STOP	off	Steam diagnostic	Stops the top-level Helper at an observed exit for LLDB attachment.
env	MACWS_STEAM_LAUNCH_EPOCH	transient	Steam launch transaction	Identifies one outer bootstrap/live-client family so hostd resets its semaphore namespace exactly once.
env	MACWS_STEAM_NATIVE_BROWSER_LAUNCH	off	removed Steam diagnostic	Native top-level WebUI fork crashes in the Network/XPC atfork child; production uses the atomic spawn adapter.
env	MACWS_STEAM_NATIVE_EXCEPTION_DIAGNOSTICS	off	Steam diagnostic	Leaves the top-level Helper or separately signed macws-runtime game shadow's native fault visible to CrashReporter/LLDB during an explicit diagnostic.
env	MACWS_STEAM_PIPE_DIAGNOSTICS	off	Steam diagnostic	Records bounded steam.pipe syscalls without changing results.
env	MACWS_STEAM_SYSVSEM_DIAGNOSTICS	off	Steam diagnostic	Records bounded System V semaphore keys, flags, results and callers during global-instance election without changing results.
env	MACWS_STEAM_PROCESS_DIAGNOSTICS	off	Steam diagnostic	Records exact Valve process-adapter decisions and child argv.
env	MACWS_STEAM_PROCESS_TRACE_ONLY	off	Steam A/B diagnostic	Observes process launch calls while retaining Valve's implementation.
env	MACWS_STEAM_SEM_DIAGNOSTICS	off	Steam diagnostic	Records bounded named-semaphore lifecycle and value transitions.
env	MACWS_STEAM_SEM_TIMING_DIAGNOSTICS	off	Steam diagnostic	Measures real brokered named-semaphore call counts and wall/RPC time without changing any semaphore result or wait behavior.
env	MACWS_STEAM_CPU_RENDERING	on	Steam download UI	Selects Valve CPU compositing and adds no-SwiftShader/no-GPU-raster/no-zero-copy policies only to the top-level Steam CEF Browser.
env	MACWS_STEAM_APP_LAUNCH_COMPAT	on	Steam runtime job	When Steam's stock NSWorkspace launch fails for a verified depot app, retries the separately signed runtime shadow with the original activation, argv, and environment contract.
env	MACWS_STEAM_SEM_CALLER_DIAGNOSTICS	off	Steam diagnostic	Optional semaphore-name substring filter that emits bounded caller images and stacks for the matching real semaphore operations.
env	MACWS_STEAM_SHM_DIAGNOSTICS	off	Steam diagnostic	Logs bounded Steam shared-memory open/unlink results and object metadata without changing the operation.
env	MACWS_STEAM_THREAD_DIAGNOSTICS	off	Steam diagnostic	Logs Steam Helper pthread creation results and caller chains.
env	MACWS_STEAM_UE4_DIAGNOSTICS	off	Stray diagnostic	Installs UUID-bound, read-only UE4 fatal/config snapshots only for an explicitly diagnosed Stray runtime process.
env	MACWS_STRAY_AGX_COMPAT	auto	Stray game	Functional exact-process launch contract: enables validated Stray subtype-1/subtype-3 AGX ABI adapters and exact-manifest MetalFX routing without synchronous per-submit diagnostics; the Steam launcher injects it only into Stray-Mac-Shipping.
env	MACWS_AGX_OPCODE_ZERO_COMPAT	auto	7DTD ARM game	Functional exact-process launch contract: admits opcode 0 only for the otherwise fully anchor-validated subtype-3 resource ABI family. The Steam launcher injects it only into the copied native-arm64 7 Days To Die Unity runtime; opcode 4 remains the generic contract and M1/desktop processes are unchanged.
env	MACWS_7DTD_RENDER_SCALE_COMPAT	auto	7DTD ARM game	Exact-process fullscreen rendering policy: caps the game's CAMetalLayer drawable at 1366x1024 while preserving aspect ratio and leaves the final native-panel scale to MacWSHost. The AppKit window stays fullscreen; Steam, Stray, WindowServer and the M1 desktop path are unchanged. Runtime A/B on iPad14,5 observed 21.35-24.35 FPS at Unity's stock 2732x2048 internal scale, 55.08-55.18 FPS at the game's own 0.40 dynamic scale (1092x819), and 60.56 FPS at 0.35 (956x716), all with normal completed frames.
preference	MacWSM2GraphicsProfileVersion	auto	iPad14,5 7DTD ARM preflight	One-time uid-501 CFPreferences migration: when the existing game scale is absent or still 1.0, writes the game's real OptionsGfxUpscalerMode=4 and OptionsGfxDynamicScale=0.35 settings, verifies them through cfprefsd, then records version 1. A pre-existing non-default scale is preserved and marked considered; later launches never overwrite the user's choice. Exact iPad14,5 gating leaves every M1/iOS 16.3 device unchanged.
env	MACWS_STRAY_TARGET_FPS	on	Stray or 7DTD launched by Steam	Publishes the calibrated target in the versioned render-activity record; Stray uses 54 Hz and the verified native-arm64 7DTD runtime uses 60 Hz, preventing pointer activity from switching the full game desktop to 120 Hz.
env	MACWS_STRAY_DISABLE_DISPLAY_SYNC	on	Stray launched by Steam	Exact-process presentation policy: sets the public CAMetalLayer displaySyncEnabled property to NO before calling the original nextDrawable; selected by thermally-valid actual-gameplay A/B, never fabricates a drawable or bypasses validation.
env	MACWS_CFPREFERENCES_CLIENT	transient	macos_gui defaults probe	Selects the narrow headless CFPreferences client path: installs only the private XPC name mapping and skips GUI/Metal/input hook initialization for the bounded defaults persistence probe.
env	MACWS_SYNTHETIC_MOBILE_USER	auto	uid-501 cfprefsd and 7DTD ARM game	Supplies the missing Ventura uid-501 login identity and routes CFPreferences to the isolated uid-501 agent only when the process really runs as uid 501 and carries this exact contract; root/M1 desktop clients keep the established identity and endpoint.
env	MACWS_STEAM_VA_DIAGNOSTICS	off	Steam diagnostic	Records only Steam's GiB-scale virtual-memory reservations.
env	MACWS_STEAM_VOLUME_DIAGNOSTICS	off	Steam diagnostic	Records exact storage-volume property queries used by the Steam bootstrap.
env	SDL_JOYSTICK_HIDAPI	off	Steam client UI	Disables SDL HIDAPI joystick discovery in the chroot; does not affect macOS input bridging.
env	SDL_JOYSTICK_IOKIT	off	Steam client UI	Disables SDL's incompatible direct IOKit joystick discovery in the chroot.
env	SDL_JOYSTICK_MFI	off	Steam client UI	Disables SDL MFi joystick discovery in the chroot.
env	MACWS_MACH_MSG_TRACE	off	diagnostic	Mach-message trace.
env	MACWS_MACOS_SYSTEM_POLICY_COMPAT	on	VS Code,Chrome	Narrow Chromium system-policy compatibility.
env	MACWS_METALFX_DUMP_BUFFER_IOSURFACE	off	standalone MetalFX temporal probe	Compares the real iosurface behavior of ordinary and IOSurface-backed MTLBuffers.
env	MACWS_METALFX_DUMP_MPSGRAPH_METHODS	off	standalone MetalFX temporal probe	Prints the realized MPSGraphTensorData initializer and IOSurface-related method inventory.
env	MACWS_METALFX_ENCODER_DIAG	off	standalone MetalFX temporal probe	Enables the exact-process MetalFX encoder observer only when the executable is metalfx_temporal_probe.
env	MACWS_METALFX_MPSGRAPH_DIAG	off	standalone MetalFX temporal probe	Prints MPSGraph run methods and records real graph execution calls without changing their results.
env	MACWS_METALFX_PROBE_ENCODE	off	standalone MetalFX temporal probe	Continues scaler construction through one or more real temporal-scaler encode and completion cycles.
env	MACWS_METALFX_PROBE_FRAMES	off	standalone MetalFX temporal probe	Sets the bounded temporal encode count, clamped to 1 through 256 frames.
